,X,A2,A3,A5,A7,A8,B3,Age,B7,B9,B11,B12,C2,C12,E2_9group,E4_21group,E6,E7,E9,E10,E13,E13_1,E14_1,E14_2,E14_Result,E16,E17,E22,E23,E24,G1_1,G1_2,Weights_1,WeightsCalib_1,Weights_Year,WeightsCalib_Year,resident,nonresident,LR_WAP,LF,PNLF,empj,underemployed,iempj,emsj,iemsj,LU1_unemployed,LU2_combined,LU3_potential,LU4_composite,long_term_unemployed
457,457,9,8,2,8,5,1,58,5,2,2,5,1,1,6,1,1,4,3,3,1,2,0,7000,2,4,1,1,7,2,28,0,350.294494238156,657.809128044395,92.8712064634395,190.386881332894,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
459,459,10,8,2,6,4,1,56,5,2,2,3,1,1,6,1,1,4,3,3,1,2,0,23000,2,4,1,4,7,2,28,0,350.294494238156,657.809128044395,92.8712064634395,190.386881332894,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
463,463,11,8,2,6,5,1,27,8,2,2,5,1,1,6,1,1,4,3,3,1,1,0,12000,2,4,2,1,7,1,40,0,350.294494238156,657.809128044395,92.8712064634395,190.386881332894,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
480,480,8,9,1,5,3,1,32,6,2,2,5,1,1,7,7,2,4,1,3,1,1,3E+05,0,1,4,1,1,7,1,80,0,421.162055335968,536.863673111584,96.3853459972863,131.270038150105,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
485,485,11,9,1,4,3,2,34,8,2,2,5,1,1,5,19,2,4,5,3,1,1,40000,0,1,4,2,1,7,2,14,8,421.162055335968,536.863673111584,96.3853459972863,131.270038150105,1,NA,1,1,NA,1,NA,1,1,1,NA,NA,NA,NA,NA
502,502,3,9,2,6,4,1,68,5,2,2,5,1,1,6,1,1,4,3,3,1,4,80000,0,1,4,1,1,7,1,45,0,176.777850446915,192.732676945336,50.9090909090909,60.6545153643447,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
528,528,4,9,2,6,6,1,33,4,2,1,5,1,1,6,1,1,4,3,3,1,3,80000,0,1,4,1,1,7,1,42,30,218.210159145411,185.185511639468,62.8409090909091,48.9436279365746,1,NA,1,1,NA,1,NA,1,1,1,NA,NA,NA,NA,NA
532,532,5,9,2,2,2,1,64,7,2,2,3,1,1,6,1,1,4,3,3,1,2,35000,0,1,4,2,1,7,1,50,0,218.210159145411,185.185511639468,62.8409090909091,48.9436279365746,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
536,536,9,9,2,5,3,1,49,7,2,2,5,1,1,6,1,1,4,3,3,1,2,150000,0,1,4,2,1,7,1,70,0,218.210159145411,185.185511639468,62.8409090909091,48.9436279365746,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
538,538,10,9,2,5,4,1,62,7,2,2,5,1,1,6,1,1,4,3,3,1,2,80000,0,1,4,2,1,7,1,75,0,218.210159145411,185.185511639468,62.8409090909091,48.9436279365746,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
571,571,6,10,2,3,2,2,50,5,2,2,5,1,1,6,1,1,4,3,3,1,2,25000,30000,5,4,1,1,7,2,16,0,156.718837863168,101.335950861003,43.5579578015108,38.4301658254699,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
572,572,7,10,2,5,4,2,51,7,2,2,3,1,1,6,1,1,4,3,3,1,1,20000,35000,5,4,1,1,7,2,14,0,156.718837863168,101.335950861003,43.5579578015108,38.4301658254699,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
585,585,2,11,1,3,2,1,35,5,2,1,5,1,1,6,1,2,4,3,3,1,1,3E+05,0,1,7,1,1,7,1,60,0,138.272511848341,108.978085159677,35.9193598030163,30.3098250110379,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
609,609,3,11,2,2,2,1,68,10,2,2,5,1,1,6,1,1,4,3,3,1,2,450000,0,1,6,2,1,7,1,60,0,669.74913693901,1017.67114270181,146.565600604382,213.495077449055,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
610,610,3,11,2,2,2,2,64,5,2,2,5,1,1,6,1,1,4,3,3,1,2,30000,0,1,4,1,1,7,1,42,0,669.74913693901,1017.67114270181,146.565600604382,213.495077449055,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
614,614,8,11,2,4,4,1,50,6,2,2,5,1,1,6,1,1,4,3,3,1,3,7E+05,0,1,6,1,1,7,1,60,0,669.74913693901,1017.67114270181,146.565600604382,213.495077449055,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
619,619,9,11,2,6,6,2,67,5,2,2,2,2,1,6,1,1,4,3,3,1,2,30000,0,1,4,1,1,7,2,28,0,669.74913693901,1017.67114270181,146.565600604382,213.495077449055,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
621,621,3,1,1,3,3,1,46,5,2,2,5,1,1,7,6,2,4,3,3,1,1,1E+05,0,1,4,1,1,7,1,63,0,584.652706843718,187.30548460691,142.936255422266,20.2897469603122,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
625,625,11,1,1,4,4,1,57,7,2,2,5,1,1,8,8,2,4,3,3,1,1,80000,0,1,4,1,1,7,1,42,0,584.652706843718,187.30548460691,142.936255422266,20.2897469603122,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
628,628,1,1,1,8,4,1,32,7,2,2,5,1,1,7,3,2,4,3,3,1,1,70000,0,1,4,1,1,7,1,35,0,820.565202587675,998.225346968694,200.612288311953,187.664903778307,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
640,640,4,1,1,4,2,1,50,7,2,2,5,1,1,7,3,2,4,3,3,1,1,120000,0,1,4,1,1,7,1,56,0,994.935308137555,99.49,243.242399578242,24.3000000000055,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
641,641,7,1,1,5,3,1,26,8,2,1,5,1,1,1,8,2,4,1,3,2,NA,2E+05,0,1,4,1,1,6,1,48,0,994.935308137555,99.49,243.242399578242,24.3000000000055,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
642,642,9,1,1,4,2,1,39,9,2,2,5,1,1,2,13,2,4,1,3,1,1,150000,0,1,4,1,1,7,1,40,0,994.935308137555,99.49,243.242399578242,24.3000000000055,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
643,643,9,1,1,4,2,2,35,9,2,2,5,2,1,2,13,2,4,1,3,1,1,150000,0,1,4,1,1,7,1,40,0,994.935308137555,99.49,243.242399578242,24.3000000000055,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
652,652,6,1,1,5,4,2,31,10,2,4,5,1,1,1,16,2,4,1,3,1,4,1E+05,0,1,4,1,1,3,2,28,0,594.909771876064,777.518296017116,145.443909026166,188.190737479641,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
655,655,7,1,1,4,4,2,40,10,2,2,5,1,1,2,17,2,4,1,3,1,1,140000,0,1,4,1,1,7,2,12,0,594.909771876064,777.518296017116,145.443909026166,188.190737479641,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
668,668,5,2,1,1,1,2,60,5,2,3,5,1,1,5,7,2,4,1,3,7,NA,70000,0,1,4,1,4,7,1,56,0,201.906098017209,72.9661283270673,56.0654545454545,32.5439163923984,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
670,670,7,2,1,5,4,1,45,5,2,2,5,1,1,8,8,3,4,1,3,1,3,3E+05,0,1,4,1,1,7,1,84,0,201.906098017209,72.9661283270673,56.0654545454545,32.5439163923984,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
671,671,7,2,1,5,4,1,21,5,2,1,5,1,1,8,8,3,4,1,3,1,3,1E+05,0,1,4,1,1,6,1,84,0,201.906098017209,72.9661283270673,56.0654545454545,32.5439163923984,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
674,674,10,2,1,3,2,1,37,5,2,2,5,1,1,8,8,4,4,3,3,1,1,120000,0,1,4,1,1,7,1,98,0,201.906098017209,72.9661283270673,56.0654545454545,32.5439163923984,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
682,682,4,2,2,5,4,2,47,5,2,2,5,1,1,6,1,1,4,3,3,1,2,70000,50000,5,4,1,1,7,2,28,0,249.61318362912,24.96,60.1275519106613,5.99999999999454,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
684,684,6,2,2,4,3,1,23,5,2,1,5,1,1,9,7,1,4,1,3,1,2,90000,0,1,4,1,1,6,1,48,0,249.61318362912,24.96,60.1275519106613,5.99999999999454,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
686,686,9,2,2,4,4,2,54,5,2,2,5,1,1,6,1,1,4,3,3,1,2,40000,40000,5,4,1,1,7,2,28,0,249.61318362912,24.96,60.1275519106613,5.99999999999454,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
689,689,4,2,2,6,2,1,63,5,2,2,5,1,1,8,8,3,4,3,3,1,1,120000,0,1,4,1,1,7,1,48,35,283.214958348424,234.863464293391,68.2216454370965,57.3253033648416,1,NA,1,1,NA,1,NA,1,1,1,NA,NA,NA,NA,NA
690,690,5,2,2,2,2,1,60,5,2,2,5,1,1,6,1,1,4,3,3,1,2,4E+06,0,1,6,1,4,7,1,50,0,283.214958348424,234.863464293391,68.2216454370965,57.3253033648416,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
692,692,6,2,2,4,4,1,40,5,2,2,5,1,1,1,7,1,3,1,3,1,4,250000,0,1,4,1,1,7,1,70,35,283.214958348424,234.863464293391,68.2216454370965,57.3253033648416,1,NA,1,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA
694,694,8,2,2,7,2,1,29,5,2,2,5,1,1,6,1,1,4,3,3,1,2,6E+06,5E+05,5,6,1,4,7,1,40,0,283.214958348424,234.863464293391,68.2216454370965,57.3253033648416,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
697,697,10,2,2,4,4,1,50,5,2,2,5,1,1,6,1,1,4,3,3,1,3,5E+06,0,1,6,1,4,7,1,40,0,283.214958348424,234.863464293391,68.2216454370965,57.3253033648416,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
698,698,11,2,2,7,5,1,56,5,2,2,5,1,1,6,1,1,4,3,3,1,3,7E+06,0,1,6,1,4,7,1,48,0,283.214958348424,234.863464293391,68.2216454370965,57.3253033648416,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
699,699,2,2,2,4,4,1,45,5,2,2,5,1,1,8,1,1,4,3,3,1,1,150000,0,1,4,1,4,7,1,56,0,283.214958348424,255.864033898641,68.2216454370965,71.4184339799212,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
700,700,5,2,2,4,4,1,61,5,2,2,5,1,1,6,1,1,4,3,3,1,1,2E+05,2E+05,5,6,1,4,7,2,18,0,283.214958348424,255.864033898641,68.2216454370965,71.4184339799212,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
701,701,6,2,2,6,4,1,55,5,2,2,5,1,1,6,1,1,4,3,3,1,1,3E+05,2E+05,5,6,1,4,7,2,21,0,283.214958348424,255.864033898641,68.2216454370965,71.4184339799212,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
703,703,1,3,1,4,3,1,32,5,2,1,5,1,1,7,6,2,4,3,3,1,1,60000,0,1,3,1,3,1,1,70,0,133.652764761012,21.2921734085539,35.5552092747842,14.7617394976778,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
707,707,5,3,1,4,4,2,51,10,2,2,5,1,1,6,1,2,4,3,3,1,2,0,5000,2,4,2,1,7,1,46,0,133.652764761012,21.2921734085539,35.5552092747842,14.7617394976778,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
711,711,8,3,1,1,1,1,58,6,2,4,2,1,1,5,8,3,4,3,3,1,1,1700,0,1,4,2,1,7,2,20,0,133.652764761012,21.2921734085539,35.5552092747842,14.7617394976778,1,NA,1,1,NA,1,1,1,NA,NA,NA,1,NA,1,NA
712,712,9,3,1,5,5,2,48,5,2,2,5,1,1,1,3,2,3,1,3,1,2,1E+05,20000,5,4,1,1,2,1,50,0,133.652764761012,21.2921734085539,35.5552092747842,14.7617394976778,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
715,715,10,3,1,6,4,1,49,5,2,2,5,1,1,7,7,2,4,3,3,1,1,1E+05,0,1,4,1,1,7,1,50,0,133.652764761012,21.2921734085539,35.5552092747842,14.7617394976778,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
718,718,5,3,1,3,2,2,64,5,2,3,5,1,1,5,7,2,4,3,3,1,1,15000,0,1,3,1,3,7,1,40,0,209.696579194002,161.969646308284,55.7848973104373,37.5205866313627,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
719,719,7,3,1,4,4,1,53,7,2,2,5,1,1,8,8,3,4,3,3,1,1,60000,0,1,4,2,1,7,1,50,0,209.696579194002,161.969646308284,55.7848973104373,37.5205866313627,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
724,724,1,3,1,6,4,1,35,5,2,2,5,1,1,7,6,2,4,3,3,1,1,1E+05,0,1,4,1,2,1,1,50,0,253.479381443299,499.378408548315,67.4322934521769,144.579316588535,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
731,731,6,3,1,2,1,2,38,7,2,3,5,1,1,5,19,2,4,1,3,1,1,160000,0,1,4,1,1,7,1,45,0,253.479381443299,499.378408548315,67.4322934521769,144.579316588535,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
734,734,9,3,1,5,3,1,33,5,2,2,5,1,1,7,6,2,4,3,3,1,1,90000,0,1,4,1,3,1,1,45,0,253.479381443299,499.378408548315,67.4322934521769,144.579316588535,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
742,742,7,3,2,3,3,1,40,8,2,1,5,1,1,5,7,3,4,3,3,1,1,1E+05,0,1,4,1,1,7,1,60,0,308.30890052356,90.5569451970727,78.489836721093,14.1310678228247,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
746,746,8,3,2,4,4,2,51,8,2,1,5,1,1,1,7,1,4,1,3,1,1,150000,0,1,4,2,1,7,1,60,0,308.30890052356,90.5569451970727,78.489836721093,14.1310678228247,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
761,761,8,3,2,3,2,1,57,4,2,2,3,1,1,6,1,1,4,3,3,1,2,150000,0,1,5,1,1,7,1,45,0,285.471204188482,159.546459115535,72.6757747417527,43.9217145439538,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
789,789,1,3,2,6,6,1,40,5,2,2,5,1,1,6,1,1,4,3,3,1,2,2E+05,0,1,4,1,1,7,1,35,0,371.112565445026,83.9497165723653,94.4785071642786,9.39999999999145,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
797,797,6,3,2,8,6,1,43,4,2,2,5,1,1,6,1,1,4,3,3,1,2,1E+05,0,1,4,1,1,7,1,45,0,371.112565445026,83.9497165723653,94.4785071642786,9.39999999999145,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
799,799,7,3,2,4,2,1,43,5,2,2,5,1,1,6,1,1,4,3,3,1,2,90000,0,1,4,1,1,7,1,45,0,371.112565445026,83.9497165723653,94.4785071642786,9.39999999999145,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
801,801,8,3,2,6,4,1,65,8,2,2,5,1,1,6,1,1,4,3,3,1,2,50000,0,1,4,2,1,1,1,40,0,371.112565445026,83.9497165723653,94.4785071642786,9.39999999999145,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
807,807,11,3,2,6,4,1,42,4,2,2,5,1,1,6,1,1,4,3,3,1,2,40000,0,1,4,1,1,7,1,35,0,371.112565445026,83.9497165723653,94.4785071642786,9.39999999999145,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
810,810,7,4,1,6,4,1,75,5,2,2,5,1,1,9,1,2,4,3,3,1,2,60000,0,1,4,1,1,7,1,40,0,736.275114784206,687.747373100687,200.802304032056,191.964633564219,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
811,811,7,4,1,6,4,1,49,5,2,2,5,1,1,9,1,2,4,3,3,1,2,60000,0,1,4,1,1,7,1,40,0,736.275114784206,687.747373100687,200.802304032056,191.964633564219,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
815,815,11,4,1,4,2,1,36,5,2,2,5,1,1,9,13,2,4,1,3,1,1,60000,0,1,4,1,1,7,1,56,0,736.275114784206,687.747373100687,200.802304032056,191.964633564219,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
820,820,9,4,1,2,2,1,31,7,2,1,5,1,1,9,6,3,4,3,3,1,2,40000,0,1,4,1,1,7,1,40,0,326.749311294766,248.114239646645,89.1134485349361,44.8871742738497,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
864,864,6,5,1,6,4,1,33,5,2,2,5,1,1,7,7,2,4,3,3,1,1,50000,0,1,4,1,1,7,1,48,0,239.413118527043,23.94,61.6681981207576,6.19999999999436,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
872,872,8,5,1,3,2,1,23,5,2,2,5,1,1,6,1,2,4,3,3,1,2,80000,0,1,4,1,1,6,1,50,0,215.471806674338,287.452527364937,55.5013783086819,72.1558719509558,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
910,910,7,6,1,4,2,1,56,7,2,2,5,1,1,6,1,2,4,3,3,1,1,50000,0,1,4,2,1,5,2,20,0,322.922550177096,259.83388976066,78.7034280342995,62.5496288249306,1,NA,1,1,NA,1,1,1,NA,NA,NA,1,NA,1,NA
931,931,6,6,2,4,3,2,49,5,2,2,5,1,1,6,1,1,4,3,3,1,2,0,25000,2,4,1,1,7,2,25,0,300.086830680174,440.009030523113,71.6269430051813,114.939956131198,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
933,933,7,6,2,5,3,2,30,5,2,2,5,1,1,6,1,1,4,3,3,1,2,10000,15000,5,4,1,1,7,2,12,0,300.086830680174,440.009030523113,71.6269430051813,114.939956131198,1,NA,1,1,NA,1,1,1,NA,NA,NA,1,NA,1,NA
935,935,9,6,2,5,4,2,55,5,2,2,3,1,1,6,1,1,4,3,3,1,2,0,10000,2,4,1,1,7,2,12,0,300.086830680174,440.009030523113,71.6269430051813,114.939956131198,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
936,936,10,6,2,3,3,1,59,5,2,2,5,1,1,6,1,1,4,3,3,1,2,0,10000,2,4,1,1,7,2,24,0,300.086830680174,440.009030523113,71.6269430051813,114.939956131198,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
937,937,10,6,2,3,3,2,59,5,2,2,5,1,1,6,1,1,4,3,3,1,2,0,25000,2,4,1,1,7,2,18,0,300.086830680174,440.009030523113,71.6269430051813,114.939956131198,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
939,939,11,6,2,3,3,1,22,6,2,1,5,1,1,6,1,1,3,1,3,2,NA,160000,0,1,4,1,1,7,1,56,0,300.086830680174,440.009030523113,71.6269430051813,114.939956131198,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
941,941,4,6,2,1,1,2,63,7,2,1,2,1,1,7,3,1,4,3,3,1,1,30000,0,1,4,2,1,7,1,35,0,362.60492040521,392.479048104891,86.5492227979275,108.061144994186,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
944,944,1,6,2,8,3,1,64,5,2,2,5,1,1,6,1,1,4,3,3,1,2,0,25000,2,4,1,1,7,2,16,0,341.765557163531,321.086603492342,81.5751295336788,87.9958075402774,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
951,951,5,6,2,5,4,2,44,5,2,2,5,1,1,6,1,1,4,3,3,1,2,0,20000,2,4,1,1,7,2,18,0,341.765557163531,321.086603492342,81.5751295336788,87.9958075402774,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
952,952,6,6,2,5,3,2,40,5,2,2,5,1,1,6,1,1,4,3,3,1,2,0,3E+05,2,4,1,1,7,2,20,0,341.765557163531,321.086603492342,81.5751295336788,87.9958075402774,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
955,955,8,6,2,2,1,2,74,4,2,2,5,1,1,6,1,1,4,3,3,1,2,0,15000,2,4,1,1,7,2,18,0,341.765557163531,321.086603492342,81.5751295336788,87.9958075402774,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
956,956,9,6,2,6,4,2,47,5,2,2,5,1,1,6,1,1,4,3,3,1,1,0,18000,2,4,1,1,7,2,20,0,341.765557163531,321.086603492342,81.5751295336788,87.9958075402774,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
958,958,10,6,2,3,3,2,44,5,2,2,5,1,1,6,1,1,4,3,3,1,2,0,25000,2,4,1,1,7,2,14,0,341.765557163531,321.086603492342,81.5751295336788,87.9958075402774,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
1006,1006,1,7,2,3,3,2,49,7,2,3,5,1,1,6,1,1,4,4,3,1,1,60000,0,1,4,1,1,7,2,21,0,371.178596993558,685.592707595663,88.9008615147229,154.629559302519,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
1007,1007,1,7,2,3,3,2,18,7,1,1,5,1,1,6,1,2,4,5,3,1,1,80000,0,1,4,1,1,5,2,28,0,371.178596993558,685.592707595663,88.9008615147229,154.629559302519,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
1014,1014,7,7,2,6,3,1,29,5,2,2,5,1,1,9,6,2,4,3,3,1,2,80000,0,1,4,1,3,1,1,48,0,371.178596993558,685.592707595663,88.9008615147229,154.629559302519,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
1047,1047,5,8,2,7,6,2,64,5,2,2,5,1,1,6,1,1,4,3,3,1,1,3E+05,30000,5,5,1,1,7,2,28,0,441.371062740077,655.895962314591,117.017720143934,161.314088066817,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
1048,1048,5,8,2,7,6,1,74,5,2,2,5,1,1,6,1,1,4,3,3,1,1,0,20000,2,4,1,1,7,2,21,0,441.371062740077,655.895962314591,117.017720143934,161.314088066817,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
1049,1049,7,8,2,3,3,1,48,5,2,2,5,1,1,6,1,1,4,3,3,1,1,8000,0,1,4,1,4,7,2,21,0,441.371062740077,655.895962314591,117.017720143934,161.314088066817,1,NA,1,1,NA,1,1,1,NA,NA,NA,1,NA,1,NA
1051,1051,9,8,2,5,3,2,37,7,2,2,5,1,1,6,1,1,4,3,3,1,1,120000,30000,5,5,1,1,7,2,28,0,441.371062740077,655.895962314591,117.017720143934,161.314088066817,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
1052,1052,10,8,2,5,4,2,40,5,2,2,5,1,1,6,1,1,4,3,3,1,1,0,9000,2,4,1,1,7,2,21,0,441.371062740077,655.895962314591,117.017720143934,161.314088066817,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
1053,1053,11,8,2,5,4,1,49,5,2,2,5,1,1,6,1,1,4,3,3,1,2,0,5000,2,4,1,1,7,2,28,0,441.371062740077,655.895962314591,117.017720143934,161.314088066817,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
1055,1055,1,8,2,6,5,1,57,5,2,2,2,1,1,6,1,1,4,3,3,1,2,12000,5000,5,4,1,1,7,2,28,0,392.329833546735,328.406351934,104.015751239052,124.301728057537,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
1058,1058,3,8,2,6,4,2,41,5,2,2,5,1,1,6,1,1,4,3,3,1,1,0,5000,2,4,1,1,7,2,28,0,392.329833546735,328.406351934,104.015751239052,124.301728057537,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
1059,1059,4,8,2,5,5,2,41,5,2,3,5,1,1,6,1,1,4,3,3,1,1,16000,5000,5,4,1,1,7,2,21,0,392.329833546735,328.406351934,104.015751239052,124.301728057537,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
1060,1060,4,8,2,5,5,2,71,5,2,3,5,1,1,6,1,2,4,3,3,1,1,0,3000,2,4,1,1,7,2,30,0,392.329833546735,328.406351934,104.015751239052,124.301728057537,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
1061,1061,6,8,2,7,4,1,61,7,2,2,3,1,1,6,1,1,4,3,3,1,2,0,7000,2,4,1,1,7,2,21,0,392.329833546735,328.406351934,104.015751239052,124.301728057537,1,NA,1,1,NA,1,1,1,NA,NA,NA,1,NA,1,NA
1064,1064,7,8,2,5,5,2,41,5,2,2,5,1,1,6,1,1,4,3,3,1,1,0,5000,2,4,1,1,7,2,30,0,392.329833546735,328.406351934,104.015751239052,124.301728057537,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
1065,1065,9,8,2,4,4,2,54,5,2,2,5,1,1,6,1,1,4,3,3,1,2,15000,7000,5,4,1,1,7,2,21,0,392.329833546735,328.406351934,104.015751239052,124.301728057537,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
1067,1067,10,8,2,3,3,1,53,6,2,2,3,1,1,6,1,1,4,3,3,1,2,15000,7000,5,4,1,1,7,2,28,0,392.329833546735,328.406351934,104.015751239052,124.301728057537,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
1069,1069,11,8,2,8,4,2,59,7,2,2,5,1,1,6,1,1,4,3,3,1,1,17000,8000,5,4,1,1,7,2,28,0,392.329833546735,328.406351934,104.015751239052,124.301728057537,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
1078,1078,5,9,1,5,5,1,41,7,2,2,5,1,1,7,6,2,4,3,3,1,2,1E+05,0,1,4,2,1,7,1,63,0,355.982213438735,530.355929720821,81.468566259611,111.651554618556,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
1081,1081,7,9,1,10,7,1,55,6,2,2,5,1,1,8,8,2,4,2,3,1,1,30000,0,1,4,1,1,2,1,40,0,355.982213438735,530.355929720821,81.468566259611,111.651554618556,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
