,X,A2,A3,A5,A7,A8,B3,Age,B7,B9,B11,B12,C2,C12,E2_9group,E4_21group,E6,E7,E9,E10,E13,E13_1,E14_1,E14_2,E14_Result,E16,E17,E22,E23,E24,G1_1,G1_2,Weights_1,WeightsCalib_1,Weights_Year,WeightsCalib_Year,resident,nonresident,LR_WAP,LF,PNLF,empj,underemployed,iempj,emsj,iemsj,LU1_unemployed,LU2_combined,LU3_potential,LU4_composite,long_term_unemployed
101,101,8,3,1,5,4,1,30,5,2,1,5,1,1,5,19,2,4,1,3,1,1,120000,0,1,4,1,1,4,1,50,0,152.087628865979,116.072518494354,40.4593760713061,33.952006897598,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,116,7,3,2,6,4,1,56,5,2,2,5,1,1,6,1,1,4,3,3,1,2,0,30000,2,4,1,1,7,1,60,0,382.531413612565,522.502485758032,97.3855381539487,111.077381078042,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
119,119,8,3,2,5,3,1,37,4,2,2,5,1,1,5,7,2,4,4,3,1,1,2E+05,0,1,4,1,2,7,1,72,24,382.531413612565,522.502485758032,97.3855381539487,111.077381078042,1,NA,1,1,NA,1,NA,1,1,1,NA,NA,NA,NA,NA
121,121,9,3,2,2,2,2,57,5,2,2,5,1,1,6,1,1,4,3,3,1,1,0,3500,2,4,1,1,7,1,50,0,382.531413612565,522.502485758032,97.3855381539487,111.077381078042,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
127,127,2,3,2,4,4,1,51,5,2,2,5,1,1,6,1,1,4,3,3,1,2,70000,30000,5,4,1,1,7,1,70,0,388.240837696335,710.555553492897,98.8390536487837,186.977508997928,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
129,129,3,3,2,6,5,1,54,4,2,2,3,1,1,6,1,1,4,3,3,1,3,20000,5000,5,4,1,1,7,1,65,0,388.240837696335,710.555553492897,98.8390536487837,186.977508997928,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
130,130,3,3,2,6,5,2,49,5,2,2,5,1,1,6,1,1,4,3,3,1,3,30000,25000,5,4,1,1,7,2,30,0,388.240837696335,710.555553492897,98.8390536487837,186.977508997928,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
140,140,8,3,2,3,3,1,64,6,2,2,5,1,1,6,1,1,4,3,3,1,2,5000,3000,5,4,2,1,7,1,56,0,388.240837696335,710.555553492897,98.8390536487837,186.977508997928,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
145,145,9,3,2,6,4,1,31,5,2,2,5,1,1,7,7,1,4,1,3,1,1,180000,0,1,4,1,1,7,1,50,0,388.240837696335,710.555553492897,98.8390536487837,186.977508997928,1,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,146,10,3,2,3,3,1,61,7,2,2,5,1,1,6,1,1,4,3,3,1,2,0,25000,2,4,2,1,7,1,60,0,388.240837696335,710.555553492897,98.8390536487837,186.977508997928,1,NA,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
